status	key	command
Prediction	Ctrl Down	ConvertNext
Prediction	Ctrl Up	ConvertPrev
Prediction	Down	ConvertNext
Prediction	Up	ConvertPrev
Suggestion	Ctrl Down	PredictAndConvert
Suggestion	Ctrl Enter	CommitFirstSuggestion
Suggestion	Shift Enter	CommitFirstSuggestion
DirectInput	Ctrl j	IMEOn
DirectInput	Hankaku/Zenkaku	IMEOn
DirectInput	Shift Henkan	Reconvert
DirectInput	Shift Space	IMEOn
Precomposition	Backspace	Revert
Precomposition	Ctrl Backspace	Undo
Precomposition	Ctrl F12	LaunchConfigDialog
Precomposition	Ctrl F7	LaunchWordRegisterDialog
Precomposition	Ctrl j	Cancel
Precomposition	Eisu	ToggleAlphanumericMode
Precomposition	F10	ToggleAlphanumericMode
Precomposition	Hankaku/Zenkaku	Cancel
Precomposition	Kana	ToggleAlphanumericMode
Precomposition	Muhenkan	Cancel
Precomposition	Shift Henkan	Reconvert
Precomposition	Shift Muhenkan	ToggleAlphanumericMode
Precomposition	Shift Space	InsertAlternateSpace
Precomposition	Space	InsertSpace
Composition	Backspace	Backspace
Composition	Ctrl [	Cancel
Composition	Ctrl @	ConvertToHalfAlphanumeric
Composition	Ctrl g	Delete
Composition	Ctrl h	Backspace
Composition	Ctrl i	ConvertToFullKatakana
Composition	Ctrl j	Cancel
Composition	Ctrl k	PredictAndConvert
Composition	Ctrl l	MoveCursorRight
Composition	Ctrl Left	MoveCursorToBeginning
Composition	Ctrl m	Commit
Composition	Ctrl n	ConvertNext
Composition	Ctrl o	ConvertToHalfWidth
Composition	Ctrl p	ConvertToFullAlphanumeric
Composition	Ctrl Right	MoveCursorToEnd
Composition	Ctrl u	Cancel
Composition	Delete	Delete
Composition	Down	Commit
Composition	Eisu	ToggleAlphanumericMode
Composition	Enter	CommitFirstSuggestion
Composition	ESC	Cancel
Composition	F2	ConvertWithoutHistory
Composition	F6	ConvertToHiragana
Composition	F7	ConvertToFullKatakana
Composition	F8	ConvertToHalfWidth
Composition	F9	ConvertToFullAlphanumeric
Composition	Hankaku/Zenkaku	Cancel
Composition	Hiragana	ToggleAlphanumericMode
Composition	Kana	ToggleAlphanumericMode
Composition	Left	MoveCursorLeft
Composition	Muhenkan	ToggleAlphanumericMode
Composition	Right	MoveCursorRight
Composition	Shift Henkan	Convert
Composition	Shift Muhenkan	ToggleAlphanumericMode
Composition	Shift Space	Convert
Composition	Space	Convert
Composition	Tab	PredictAndConvert
Conversion	Backspace	Cancel
Conversion	Ctrl [	Cancel
Conversion	Ctrl @	ConvertToHalfAlphanumeric
Conversion	Ctrl h	SegmentWidthShrink
Conversion	Ctrl i	ConvertToFullKatakana
Conversion	Ctrl j	Cancel
Conversion	Ctrl k	PredictAndConvert
Conversion	Ctrl l	SegmentWidthExpand
Conversion	Ctrl Left	SegmentFocusFirst
Conversion	Ctrl m	Commit
Conversion	Ctrl n	ConvertNext
Conversion	Ctrl o	ConvertToHalfWidth
Conversion	Ctrl p	ConvertPrev
Conversion	Ctrl Right	SegmentFocusLast
Conversion	Ctrl Shift Left	SegmentWidthShrink
Conversion	Ctrl u	Cancel
Conversion	Eisu	ToggleAlphanumericMode
Conversion	Enter	CommitOnlyFirstSegment
Conversion	ESC	Cancel
Conversion	F10	ConvertToHalfAlphanumeric
Conversion	F6	ConvertToHiragana
Conversion	F7	ConvertToFullKatakana
Conversion	F8	ConvertToHalfWidth
Conversion	F9	ConvertToFullAlphanumeric
Conversion	Hankaku/Zenkaku	Cancel
Conversion	Hiragana	ToggleAlphanumericMode
Conversion	Left	SegmentFocusLeft
Conversion	Right	SegmentFocusRight
Conversion	Shift Space	ConvertPrevPage
Conversion	Shift Tab	ConvertPrev
Conversion	Space	ConvertNextPage
Composition	Kanji	CancelAndIMEOff
Composition	OFF	CancelAndIMEOff
Composition	ON	IMEOn
Conversion	Kanji	CancelAndIMEOff
Conversion	OFF	CancelAndIMEOff
Conversion	ON	IMEOn
DirectInput	Kanji	IMEOn
DirectInput	ON	IMEOn
Precomposition	Kanji	CancelAndIMEOff
Precomposition	OFF	CancelAndIMEOff
Precomposition	ON	IMEOn
